"","dep_id","n","xmin","alpha","ntail","pKS"
"dep.2",2,564,3,2.05617622327268,280,0.0346
"dep.3",3,146,7,2.60259689377785,36,0.4422
"dep.5",5,53,5,2.91997781546915,14,0.7678
"dep.6",6,129,2,1.85914284896125,83,0.1238
"dep.7",7,74,2,1.99314954846105,55,0.0654
"dep.8",8,35,1,1.52088502789077,35,0.3944
"dep.9",9,53,1,1.93627788998456,53,0.0206
"dep.10",10,211,5,2.55766081707307,63,0.4534
"dep.11",11,61,3,2.33553258681603,30,0.7736
"dep.12",12,213,7,2.78643666919996,38,0.8978
"dep.13",13,86,2,2.33486561149357,63,0.1948
"dep.14",14,78,3,1.89883696441848,51,0.0186
"dep.15",15,115,5,2.61725910114795,36,0.6562
"dep.17",17,50,3,2.06202844192471,35,0.6774
"dep.18",18,126,6,3.37895901159153,26,0.4794
"dep.19",19,34,3,2.28539316647774,16,0.4728
"dep.20",20,105,1,2.1189638402203,105,0.0498
"dep.21",21,199,17,3.18238484662729,22,0.8356
"dep.22",22,131,2,2.09494148596916,100,0.0524
"dep.23",23,180,9,3.40577955265593,21,0.887
"dep.24",24,89,2,1.87641862897353,68,0.2078
"dep.25",25,11,3,2.56014535170491,7,0.3026
"dep.26",26,35,1,1.93925457233227,35,0.7186
"dep.27",27,125,3,2.51015330190069,70,0.4294
"dep.28",28,69,3,2.39483205972506,32,0.7836
"dep.30",30,169,3,2.2213652548773,76,0.1428
"dep.31",31,121,3,2.14344920423724,72,0.2388
"dep.33",33,14,20,5.87508400494992,4,0.6586
